date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:40	131137/131137	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2006:44:00%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukus-anti-tumor-dan-hepatitis-c.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukus-anti-tumor-dan-hepatitis-c.jpg	(from https://afcofficial.store/)
12:03:40	121947/121947	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2006:44:42%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-detoks.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-detoks.jpg	(from https://afcofficial.store/)
12:03:41	96877/96877	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2006:45:47%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-kecantikan.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-kecantikan.jpg	(from https://afcofficial.store/)
12:03:42	101169/101169	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2006:46:55%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-turun-bb.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-turun-bb.jpg	(from https://afcofficial.store/)
12:03:43	1467556/1467556	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2006:26:08%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/brosur-utsu-potrait.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/brosur-utsu-potrait.png	(from https://afcofficial.store/)
12:03:44	185075/185075	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2006:47:52%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-imunitas.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/manfaat-utsukushhii-imunitas.jpg	(from https://afcofficial.store/)
12:03:44	47852/47852	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2007:23:05%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-1.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-1.jpg	(from https://afcofficial.store/)
12:03:45	58415/58415	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2007:23:05%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-2.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-2.jpg	(from https://afcofficial.store/)
12:03:46	55793/55793	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2007:23:06%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-3.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-3.jpg	(from https://afcofficial.store/)
12:03:47	56011/56011	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2007:23:07%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-4.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Testimoni-SOP-100-Deretan-Artis-Jasa-Landingpage-4.jpg	(from https://afcofficial.store/)
